codigo_act,descripcion,categoria_negocio
468414,Actividad no identificada,otro
465313,Actividad no identificada,otro
468413,Actividad no identificada,otro
466113,Actividad no identificada,otro
463217,Actividad no identificada,otro
488492,Actividad no identificada,otro
484129,Actividad no identificada,otro
488511,Actividad no identificada,otro
488519,Actividad no identificada,otro
484119,Actividad no identificada,otro
485210,Actividad no identificada,otro
482110,Actividad no identificada,otro
488310,Actividad no identificada,otro
484111,Actividad no identificada,otro
481111,Actividad no identificada,otro
488112,Actividad no identificada,otro
488111,Actividad no identificada,otro
485320,Actividad no identificada,otro
485510,Actividad no identificada,otro
488990,Actividad no identificada,otro
487110,Actividad no identificada,otro
484239,Actividad no identificada,otro
484210,Actividad no identificada,otro
488410,Actividad no identificada,otro
485111,Actividad no identificada,otro
484229,Actividad no identificada,otro
485410,Actividad no identificada,otro
488491,Actividad no identificada,otro
484223,Actividad no identificada,otro
484233,Actividad no identificada,otro
484231,Actividad no identificada,otro
484232,Actividad no identificada,otro
484121,Actividad no identificada,otro
484221,Actividad no identificada,otro
488190,Actividad no identificada,otro
488390,Actividad no identificada,otro
487210,Actividad no identificada,otro
488493,Actividad no identificada,otro
488320,Actividad no identificada,otro
488330,Actividad no identificada,otro
483112,Actividad no identificada,otro
486210,Actividad no identificada,otro
484222,Actividad no identificada,otro
485990,Actividad no identificada,otro
486910,Actividad no identificada,otro
483113,Actividad no identificada,otro
485115,Actividad no identificada,otro
484224,Actividad no identificada,otro
483111,Actividad no identificada,otro
483210,Actividad no identificada,otro
481210,Actividad no identificada,otro
492110,Actividad no identificada,otro
493119,Actividad no identificada,otro
493130,Actividad no identificada,otro
493190,Actividad no identificada,otro
492210,Actividad no identificada,otro
493120,Actividad no identificada,otro
491110,Actividad no identificada,otro
493111,Actividad no identificada,otro
516110,Actividad no identificada,otro
519211,Actividad no identificada,otro
517311,Actividad no identificada,otro
512240,Actividad no identificada,otro
517910,Actividad no identificada,otro
516210,Actividad no identificada,otro
517312,Actividad no identificada,otro
512290,Actividad no identificada,otro
519212,Actividad no identificada,otro
517410,Actividad no identificada,otro
513192,Actividad no identificada,otro
512112,Actividad no identificada,otro
512113,Actividad no identificada,otro
513121,Actividad no identificada,otro
513112,Actividad no identificada,otro
513132,Actividad no identificada,otro
512130,Actividad no identificada,otro
513111,Actividad no identificada,otro
518210,Actividad no identificada,otro
513131,Actividad no identificada,otro
512250,Actividad no identificada,otro
513191,Actividad no identificada,otro
513210,Actividad no identificada,otro
512230,Actividad no identificada,otro
519290,Actividad no identificada,otro
516120,Actividad no identificada,otro
524210,Actividad no identificada,otro
522452,Actividad no identificada,otro
522320,Actividad no identificada,otro
522110,Actividad no identificada,otro
523110,Actividad no identificada,otro
523122,Actividad no identificada,otro
523910,Actividad no identificada,otro
524130,Actividad no identificada,otro
524110,Actividad no identificada,otro
524220,Actividad no identificada,otro
522220,Actividad no identificada,otro
522490,Actividad no identificada,otro
522390,Actividad no identificada,otro
522460,Actividad no identificada,otro
522310,Actividad no identificada,otro
522440,Actividad no identificada,otro
522510,Actividad no identificada,otro
521110,Actividad no identificada,otro
522210,Actividad no identificada,otro
522451,Actividad no identificada,otro
524120,Actividad no identificada,otro
523990,Actividad no identificada,otro
523121,Actividad no identificada,otro
531210,Actividad no identificada,otro
531113,Actividad no identificada,otro
