categoria_negocio,latitud,longitud
PROYECTOS Y CONSTRUCCIONES URIAS,31.87501821,-116.5650146
PUERTAS AUTOMATICAS IBARRAS,31.8778296,-116.5855767
QG CONSTRUCTORA Y PROYECTOS DE ENSENADA,31.86839963,-116.6148648
QUATRO PROYECTO Y CONSTRUCCION,31.85862625,-116.5930755
RAMIREZ DISEÑO Y CONSTRUCCIONES,31.82523735,-116.5911505
REALIZACIÓN DE TRABAJOS DE CARPINTERÍA EN EL LUGAR DE LA CONSTRUCCIÓN SIN NOMBRE,31.78315349,-116.5836406
RECURSOS DEL DESIERTO,31.83239294,-116.6009255
REFRIGERACION SANDOVAL,31.86282431,-116.6081371
RIOS CONSTRUCTORES,31.85935215,-116.5968228
ROCANORTE,31.83800716,-116.6067925
RODRIGUEZ CONSULTORES,31.88892938,-116.6811423
ROMELL CONSTRUCCIONES,31.86700179,-116.6294356
RUFFO CONSTRUCTORES,31.85756356,-116.6005528
RUMASA CONSTRUCCIONES,31.86513315,-116.6141236
RUMBO AL VALLE DE LA LIBERTAD,31.72463365,-116.5740894
RUSTICOS ENSENADA,31.8475065,-116.6017917
SALAZAR POWER COATING,31.84984423,-116.5884217
SERMARIND,31.8883662,-116.6041578
SERVICIO ESTRUCTURALES ENSENADA,31.77150613,-116.5814904
SERVICIOS DEL NOROESTE,31.85438533,-116.5923984
SERVICIOS ESTRUCTURALES ENSENADA,31.85208135,-116.5889853
SERVICIOS PIE,31.8730539,-116.5763197
SERVICIOS PROFESIONALES DE INGENIERIA,31.86760001,-116.6040601
SERVIVIOS INDUSTRIALES Y DOMESTICOS,31.85430867,-116.5770894
SUPER STAR GRUPO,31.87400951,-116.6241123
TETRAPODO CONSTRUCTORA,31.84619526,-116.6019584
TOPOGRAFICA OCCIDENTAL,31.81030825,-116.5951443
TORRES ARQUITECTURA CONSTRUCCION,31.85090142,-116.5917068
TRABAJOS EN EXTERIORES SIN NOMBRE,31.86408577,-116.5752374
TSUNAMI SERVICIOS Y MAQUINARIA,31.84024256,-116.6061858
URBANIZADORA Y CONSTRUCTORA OSKAFI,31.88094346,-116.6457556
VELARIAS DE BAJA CALIFORNIA,31.84398076,-116.6020987
VICTOR MARIO PENA,31.90939807,-116.6949734
VILLA ARQUITECTURA Y MADERAS,31.84983052,-116.578225
2D FARMS,31.7834128,-116.5892084
2D FARMS,31.78265047,-116.58951
ABARROTES Y PANADERIA LA FLOR DEL VALLE,31.40285907,-115.7346637
AC ALEJANDRO CALDERON,31.83056593,-116.6051517
ADELITA COSTURAS Y ARREGLOS,31.90364053,-116.2795827
ADOBE GUADALUPE,32.08601115,-116.6222576
AGARMEX,31.8678223,-116.6197883
AGRIMAR,31.83287161,-116.6047728
AGROGAR,31.77326246,-116.5847398
AGROIN,31.87590105,-116.6261329
AGROIN,31.5917244,-115.8643997
AGROPESCA DE MEXICO,31.89912075,-116.7090046
AGUA 2000,31.87105393,-116.5813745
AGUA EL GALLO,31.87265787,-116.6228618
AGUA FONTANEL,31.86394479,-116.6127619
AGUA LA FUENTE,31.78354062,-116.5975088
AGUA MALA,31.80762886,-116.5952569
AGUA NEUTRA,31.77157505,-116.5720164
AGUA PUREZA,31.89721997,-116.559614
AGUA PURIFICADA AGUA MIEL,31.90879346,-116.2747544
AGUA PURIFICADA AQUASYS,31.70649639,-116.5667976
AGUA PURIFICADA AZZUL,31.86653591,-116.5944227
AGUA PURIFICADA DE MANANTIAL EL GALLO,31.85814406,-116.5727419
AGUA PURIFICADA EL GALLO,31.8566458,-116.5680938
AGUA PURIFICADA EL GALLO,31.82745382,-116.5968887
AGUA PURIFICADA OASIS,31.870152,-116.6037314
AGUA PURIFICADA SAN MARCOS,31.87354229,-116.5697738
AGUA PURIFICADA VITA NATURA,31.87770775,-116.5758932
ALGAMAR,31.84743767,-116.5897746
ALIMENTOS VALENCIA,31.87952701,-116.6248479
ALKALIN AGUA PURIFICADA,31.8280397,-116.5927547
ALLO WATER,31.83176232,-116.5977421
ALMACEN DE OCEANO PROFUNDO,31.86109127,-116.5894888
ALMACEN DE TORTILLERIA BERTHA,31.87507861,-116.6112428
ALMACEN PASTELERIA,31.70404259,-116.5655554
ALMACENES Y PENCIONES ACUASES,31.70108924,-116.5520241
ALMAZARA SAN VICENTE,31.86832225,-116.6224387
ALTA COSTURA JANETH,31.87934255,-116.6030882
ALVEOLO CASA DE PAN,32.09849368,-116.5698576
AMACAS,31.89578777,-116.5704872
AMACAS VICTORIA,31.89555484,-116.5704699
ANDREAS NOVIAS Y QUINCEAÑERAS,31.86428651,-116.6165962
AQUA LIGHT 2010,31.06883488,-116.2107999
